gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_001242496|FAM156A,279,367,0,0,0,165,0,0,0,0,130,293
NM_001126055|CASK,1396,1626,1618,204,1547,280,2608,1122,2608,1107,1124,990
NM_001009934|DNASE1L1,0,0,0,0,0,83,0,0,0,0,0,78
NM_021806|FAM3A,687,217,591,210,351,267,291,326,291,136,424,409
NM_000276|OCRL,113,842,274,275,421,167,456,471,456,229,44,260
NM_001172732|RAI2,0,0,0,0,0,0,0,0,0,0,0,0
NM_144970|CXorf38,2907,2949,3854,1812,1893,1422,3488,2355,3488,2561,2465,3574
NM_014499|P2RY10,1781,1922,1572,1433,1210,854,1501,1311,1501,992,1888,1506
NM_000109|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_173470|MMGT1,1814,2049,1706,1611,1737,811,2259,1888,2259,1347,1755,1518
NR_110395|LOC101928335,0,0,0,0,0,0,0,0,0,0,0,0
NM_020932|MAGEE1,164,154,189,62,76,108,90,28,90,79,110,138
